player_name,year,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,run_exp,bat_speed,swing_length,Height(inches),Weight(pounds),Batter Age (6/30),whiff%,swing%,take%,pitch/abs
"Barrera, Tres",2022,0.154,0.077,0.2,0.231,0.165,0.223,0.226,2.0,13.0,87.3,33.0,-1.5,68.37683044237907,7.1215685,74.0,201.1290322580645,27.0,0.1724137931034483,0.5576923076923077,0.4423076923076923,4.0
"Palacios, Joshua",2022,0.154,0.0,0.222,0.154,0.175,0.16,0.129,2.0,13.0,71.2,-3.0,-3.0,68.37683044237907,7.1215685,74.0,201.1290322580645,26.0,0.225,0.6060606060606061,0.3939393939393939,5.076923076923077
"Mastrobuoni, Miles",2023,0.154,0.0,0.211,0.154,0.176,0.2,0.174,4.0,26.0,74.9,1.9,-5.1,68.37683044237907,7.1215685,74.0,201.1290322580645,27.0,0.21739130434782608,0.39655172413793105,0.603448275862069,4.461538461538462
"Toro, Abraham",2020,0.154,0.115,0.176,0.269,0.249,0.33,0.254,4.0,26.0,82.1,12.5,-3.9,68.37683044237907,7.1215685,74.0,201.1290322580645,23.0,0.25396825396825395,0.5575221238938053,0.4424778761061947,4.346153846153846
"Rizzo, Anthony",2020,0.154,0.026,0.2,0.179,0.176,0.254,0.178,6.0,39.0,87.9,14.8,-8.0,68.37683044237907,7.1215685,74.0,201.1290322580645,30.0,0.2391304347826087,0.4717948717948718,0.5282051282051282,5.0
"Ramos, Wilson",2021,0.154,0.026,0.2,0.179,0.167,0.288,0.234,6.0,39.0,86.1,8.6,-7.6,68.37683044237907,7.1215685,74.0,201.1290322580645,33.0,0.23809523809523808,0.56,0.44,3.8461538461538463
"Gordon, Alex",2020,0.154,0.051,0.207,0.205,0.227,0.288,0.186,6.0,39.0,78.5,9.5,-6.8,68.37683044237907,7.1215685,74.0,201.1290322580645,36.0,0.2631578947368421,0.5241379310344828,0.47586206896551725,3.717948717948718
"Demeritte, Travis",2022,0.154,0.0,0.2,0.154,0.164,0.222,0.179,2.0,13.0,87.2,-1.4,-3.3,68.37683044237907,7.1215685,74.0,201.1290322580645,27.0,0.4482758620689655,0.5272727272727272,0.4727272727272727,4.230769230769231
"Bolt, Skye",2021,0.154,0.077,0.25,0.231,0.201,0.24,0.188,2.0,13.0,79.9,-1.1,-2.5,68.37683044237907,7.1215685,74.0,201.1290322580645,27.0,0.3076923076923077,0.49056603773584906,0.5094339622641509,4.076923076923077
"Bouchard, Sean",2024,0.154,0.077,0.2,0.231,0.258,0.284,0.17,2.0,13.0,82.1,13.2,-0.3,66.731816765,7.044602941,74.0,201.1290322580645,28.0,0.2777777777777778,0.4090909090909091,0.5909090909090909,6.769230769230769
"McKinney, Billy",2023,0.154,0.231,0.125,0.385,0.262,0.311,0.193,4.0,26.0,86.7,11.8,-4.0,68.37683044237907,7.1215685,74.0,201.1290322580645,28.0,0.3793103448275862,0.5132743362831859,0.48672566371681414,4.346153846153846
"Bumgarner, Madison",2021,0.154,0.0,0.4,0.154,0.196,0.194,0.139,2.0,13.0,88.9,27.0,-3.9,68.37683044237907,7.1215685,74.0,201.1290322580645,31.0,0.42857142857142855,0.3684210526315789,0.631578947368421,5.846153846153846
"Siani, Michael",2024,0.154,0.038,0.22,0.192,0.187,0.21,0.165,12.0,78.0,73.4,-4.5,-17.1,64.048806708,7.007051242,74.0,201.1290322580645,24.0,0.384180790960452,0.5496894409937888,0.4503105590062112,4.128205128205129
"Gomes, Yan",2020,0.154,0.077,0.167,0.231,0.181,0.292,0.279,4.0,26.0,87.7,12.0,-5.9,68.37683044237907,7.1215685,74.0,201.1290322580645,32.0,0.25862068965517243,0.5178571428571429,0.48214285714285715,4.3076923076923075
"García, Robel",2021,0.154,0.038,0.267,0.192,0.181,0.211,0.186,4.0,26.0,82.4,11.7,-5.1,68.37683044237907,7.1215685,74.0,201.1290322580645,28.0,0.5714285714285714,0.47058823529411764,0.5294117647058824,4.576923076923077
"Thompson, Trayce",2023,0.154,0.179,0.286,0.333,0.268,0.269,0.152,6.0,39.0,93.5,19.6,-2.3,68.37683044237907,7.1215685,74.0,201.1290322580645,32.0,0.45454545454545453,0.4489795918367347,0.5510204081632653,5.0256410256410255
"Nuñez, Nasim",2024,0.154,0.0,0.182,0.154,0.209,0.284,0.233,2.0,13.0,63.7,-6.4,-1.5,57.874876667,5.964921429,74.0,201.1290322580645,23.0,0.14285714285714285,0.42424242424242425,0.5757575757575758,5.076923076923077
"Maldonado, Martín",2021,0.153,0.153,0.158,0.306,0.277,0.262,0.157,13.0,85.0,83.9,18.1,-5.3,68.37683044237907,7.1215685,74.0,201.1290322580645,34.0,0.2789473684210526,0.46228710462287104,0.537712895377129,4.8352941176470585
"Brown, Seth",2021,0.153,0.097,0.188,0.25,0.218,0.257,0.182,11.0,72.0,86.4,17.2,-13.3,68.37683044237907,7.1215685,74.0,201.1290322580645,28.0,0.35664335664335667,0.45110410094637227,0.5488958990536278,4.402777777777778
"Rooker, Brent",2021,0.152,0.091,0.294,0.242,0.236,0.232,0.156,5.0,33.0,89.7,2.9,-4.6,68.37683044237907,7.1215685,74.0,201.1290322580645,26.0,0.3717948717948718,0.4968152866242038,0.5031847133757962,4.757575757575758
"Wallach, Chad",2023,0.152,0.152,0.222,0.303,0.256,0.289,0.176,5.0,33.0,80.9,6.9,-5.8,68.37683044237907,7.1215685,74.0,201.1290322580645,31.0,0.3253012048192771,0.50920245398773,0.49079754601226994,4.9393939393939394
"Kelenic, Jarred",2022,0.152,0.121,0.278,0.273,0.228,0.175,0.096,5.0,33.0,84.9,27.4,-7.8,68.37683044237907,7.1215685,74.0,201.1290322580645,22.0,0.4266666666666667,0.5,0.5,4.545454545454546
"Senzel, Nick",2024,0.152,0.261,0.138,0.413,0.303,0.322,0.217,7.0,46.0,80.5,18.4,-4.1,65.203975417,7.350524688,74.0,201.1290322580645,29.0,0.21428571428571427,0.46226415094339623,0.5377358490566038,4.608695652173913
"Malloy, Justyn-Henry",2024,0.15,0.275,0.15,0.425,0.301,0.3,0.173,6.0,40.0,89.4,20.9,-3.5,66.124467262,6.939516786,74.0,201.1290322580645,24.0,0.4166666666666667,0.39622641509433965,0.6037735849056604,5.3
"Allen, Nick",2022,0.15,0.05,0.22,0.2,0.182,0.196,0.166,9.0,60.0,79.3,6.0,-9.6,68.37683044237907,7.1215685,74.0,201.1290322580645,23.0,0.26153846153846155,0.5118110236220472,0.4881889763779528,4.233333333333333
